,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
51,10.206804536357572,0.5,0.2,0.625,0.375,0.014469025947790606,0.9790755695901449,0.0009873200258600288,0.005468084436204131
52,10.406937958639093,0.5,0.2,0.625,0.375,0.013933550306585217,0.9792296794764567,0.001034313682372066,0.005802456534585713
53,10.607071380920614,0.5,0.2,0.625,0.375,0.013419772725835692,0.9793385705083015,0.0010834187586797395,0.006158238007182685
54,10.807204803202135,0.5,0.2,0.625,0.375,0.012926941669655252,0.9794014959906598,0.001134730873099023,0.006536831466585571
55,11.007338225483656,0.5,0.2,0.625,0.375,0.012454337358539645,0.9794176018020228,0.0011883491539776093,0.00693971168545973
56,11.207471647765177,0.5,0.2,0.625,0.375,0.012001267588674265,0.9793859053157068,0.0012443767652521726,0.007368450330366526
57,11.407605070046698,0.5,0.2,0.625,0.375,0.011567065850928374,0.979305284525777,0.0013029211371873488,0.007824728486107014
58,11.607738492328219,0.5,0.2,0.625,0.375,0.011151093041737392,0.9791744882995982,0.0013640937579255897,0.008310324900738634
59,11.80787191460974,0.5,0.2,0.625,0.375,0.01075273606447824,0.9789921228552317,0.0014280103143269644,0.008827130765962888
60,12.00800533689126,0.5,0.2,0.625,0.375,0.010371406593964086,0.9787566446427108,0.0014947908422177302,0.009377157921107186
61,12.208138759172781,0.5,0.2,0.625,0.375,0.010006539310840987,0.9784663539186569,0.001564559956363307,0.00996254681413858
62,12.408272181454302,0.5,0.2,0.625,0.375,0.009657594056265317,0.9781193957204154,0.0016374464064622637,0.01058556381685679
63,12.608405603735823,0.5,0.2,0.625,0.375,0.009324053769041447,0.977713750482043,0.001713583374961333,0.01124861237395397
64,12.808539026017344,0.5,0.2,0.625,0.375,0.009005423117165354,0.9772472259541723,0.0017931086265783722,0.011954242302083744
65,13.008672448298865,0.5,0.2,0.625,0.375,0.008701228660852812,0.9767174489994739,0.0018761641949999186,0.012705158144673184
66,13.208805870580386,0.5,0.2,0.625,0.375,0.008411017873225306,0.976121861726505,0.0019628966069453573,0.013504223793324084
67,13.408939292861907,0.5,0.2,0.625,0.375,0.008134358552434075,0.9754577142016736,0.002053456803258458,0.014354470442633547
68,13.609072715143428,0.5,0.2,0.625,0.375,0.007870838499775396,0.9747220543313827,0.0021479997583546597,0.015259107410486972
69,13.80920613742495,0.5,0.2,0.625,0.375,0.007620064606993669,0.973911724098045,0.0022466847826459915,0.016221526512315013
70,14.00933955970647,0.5,0.2,0.625,0.375,0.007381662406631902,0.9730233517248191,0.0023496751731461487,0.017245310695402603
71,14.209472981987991,0.5,0.2,0.625,0.375,0.007155275665932234,0.9720533441497764,0.0024571377314111377,0.01833424245287998
72,14.409606404269512,0.5,0.2,0.625,0.375,0.006940565561496362,0.9709978806393713,0.00256924313412001,0.019492310665012044
73,14.609739826551033,0.5,0.2,0.625,0.375,0.006737210344416903,0.9698529079623522,0.002686164989137387,0.02072371670409317
74,14.809873248832554,0.5,0.2,0.625,0.375,0.006544904772190748,0.9686141336346856,0.0028080796470293743,0.022032881946093985
75,15.010006671114075,0.5,0.2,0.625,0.375,0.0063633593611527196,0.9672770168434981,0.002935166685854549,0.023424457109494274
76,15.210140093395596,0.5,0.2,0.625,0.375,0.006192299906995397,0.9658367630588742,0.0030676083789648568,0.024903328655165216
77,15.410273515677117,0.5,0.2,0.625,0.375,0.00603146734362416,0.9642883313156947,0.003205587620883824,0.0264746137197971
78,15.610406937958638,0.5,0.2,0.625,0.375,0.005880617105316904,0.9626264252571494,0.0033492880406601976,0.028143669596873394
79,15.810540360240159,0.5,0.2,0.625,0.375,0.005739518425986566,0.9608454822439669,0.003498894386669685,0.029916104943376813
80,16.010673782521682,0.5,0.2,0.625,0.375,0.005607953897559142,0.9589396888916006,0.0036545909526425305,0.031797766258197635
81,16.210807204803203,0.5,0.2,0.625,0.375,0.005485718955341527,0.9569029777969782,0.003816561073034944,0.033794742174645384
82,16.410940627084724,0.5,0.2,0.625,0.375,0.0053726213815782084,0.9547290136301491,0.0039849870497678345,0.035913377938504965
83,16.611074049366245,0.5,0.2,0.625,0.375,0.005268480919975352,0.9524112183288653,0.004160048478423499,0.038160252272735985
